rcp_id,image_filename,recipe_title,txt_ingredient_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
0,20181226_174632_crispy prawn and vegetable risotto.jpg,crispy prawn and vegetable risotto,20181226_174632_crispy prawn and vegetable risotto.txt,137,6.97,2.74,3.05,0.51,0.0,11.83,2.03,1.02,0.18,6.96,1.01,0.0,466
1,20190101_165049_seared prawn w poached egg and vegetable broth.jpg,seared prawn w poached egg and vegetable broth,20190101_165049_seared prawn w poached egg and vegetable broth.txt,31,1.49,0.46,0.58,0.21,0,1.89,0.9,0.44,0.01,2.5,0.7,0,700
2,20190102_172954_vegetable and tangerine salad.jpg,vegetable and tangerine salad,20190102_172954_vegetable and tangerine salad.txt,38,0.21,0.01,0.0,0.07,0,9.23,4.05,1.73,0.01,1.06,0.14,0,205
3,20190102_173235_tuna with vegetable and tangerine salad.jpg,tuna with vegetable and tangerine salad,20190102_173235_tuna with vegetable and tangerine salad.txt,79,0.8,0.12,0.04,0.13,0,5.42,2.34,1.01,0.01,12.4,0.45,0,205
4,20190103_170558_chicken beetroot w broccoli and greens.jpg,chicken beetroot w broccoli and greens,20190103_170558_chicken beetroot w broccoli and greens.txt,104,4.84,1.28,1.67,0.93,0,4.79,3.2,1.5,0.02,10.14,0.26,0,192
5,20190104_175145_aubergine and veg stuffed squid.jpg,aubergine and veg stuffed squid,20190104_175145_aubergine and veg stuffed squid.txt,63,2.0,0.52,0.02,0.21,0,6.45,2.13,1.67,0.38,5.19,0.96,0,150
6,20190104_184710_salmon prawn and squid w veg.jpg,salmon prawn and squid w veg,20190104_184710_salmon prawn and squid w veg.txt,78,2.3,0.76,0.33,0.37,0,6.08,1.76,1.15,0.14,8.6,1.61,0,150
7,20190105_164006_chicken and shredded lettuce soup w cardamom.jpg,chicken and shredded lettuce soup w cardamom,20190105_164006_chicken and shredded lettuce soup w cardamom.txt,28,0.86,0.34,0.16,0.11,0,2.42,1.59,0.34,0.11,2.59,0.97,0,1145
8,20190106_163942_spinach tortilla.jpg,spinach tortilla,20190106_163942_spinach tortilla.txt,64,3.52,1.06,1.14,0.72,0,2.84,0.48,1.5,0.0,6.0,0.97,0,110
9,20190106_173836_fillet steak and vegetables in gravy.jpg,fillet steak and vegetables in gravy,20190106_173836_fillet steak and vegetables in gravy.txt,40,1.55,0.63,0.52,0.09,0,2.9,1.14,0.63,0.73,3.57,0.51,0,575
10,20190107_171222_sweet and sour cauliflower.jpg,sweet and sour cauliflower,20190107_171222_sweet and sour cauliflower.txt,66,3.56,0.58,0.03,0.04,0.0,7.9,4.11,1.78,0.38,1.34,0.92,0,228
11,20190108_181824_cauliflower california.jpg,cauliflower california,20190108_181824_cauliflower california.txt,91,2.35,0.21,1.3,0.55,0.0,16.72,13.06,2.59,0.05,2.12,0.31,0.0,364
12,20190108_181824_jalapeno burger w cauliflower california.jpg,jalapeno burger w cauliflower california,20190108_181824_jalapeno burger w cauliflower california.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,180
13,20190109_142520_emergency broth.jpg,emergency broth,20190109_142520_emergency broth.txt,13,0.71,0.48,0.0,0.01,0.0,1.21,0.41,0.09,0.0,0.25,1.3,0.0,315
14,20190109_143622_crab cakes.jpg,crab cakes,20190109_143622_crab cakes.txt,100,3.81,1.01,1.2,0.73,0.18,1.18,0.46,0.01,0.0,14.15,1.1,0,85
15,20190110_173128_winner winner chicken dinner.jpg,winner winner chicken dinner,20190110_173128_winner winner chicken dinner.txt,59,2.51,0.81,0.89,0.49,0.02,3.44,1.18,1.01,0.79,5.61,0.67,0.0,870
16,20190111_182202_mangetout red pepper and grape salad.jpg,mangetout red pepper and grape salad,20190111_182202_mangetout red pepper and grape salad.txt,53,0.32,0.07,0.0,0.1,0.0,11.42,9.41,1.84,0.27,1.11,0.01,0.0,145
17,20190111_182202_poached conger eel and prawn.jpg,poached conger eel and prawn,20190111_182202_poached conger eel and prawn.txt,60,2.98,0.68,1.62,0.23,5.2,1.39,0.38,0.12,0.0,6.41,0.61,0.0,582
18,20190112_172153_chicken and aubergine stew.jpg,chicken and aubergine stew,20190112_172153_chicken and aubergine stew.txt,71,2.04,0.6,0.58,0.4,0.0,4.21,1.93,0.8,0.0,8.49,0.61,0.0,400
19,20190301_145910_mushroom rissotto.jpg,mushroom rissotto,20190301_145910_mushroom rissotto.txt,132,7.47,4.15,1.1,0.19,0.0,12.13,1.16,0.9,0.24,2.21,0.82,1.11,300
20,20190306_145901_seabass kale and potato dinner.jpg,seabass kale and potato dinner,20190306_145901_seabass kale and potato dinner.txt,55,1.6,0.44,0.5,0.43,0.4,2.74,0.32,0.47,0.0,7.28,0.45,0.0,500
21,20190306_182926_sourdough mini baguette.jpg,sourdough mini baguette,20190306_182926_sourdough mini baguette.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,46
22,20190306_200606_beef and mushroom broth w marmalade and asauce.jpg,beef and mushroom broth w marmalade and asauce,20190306_200606_beef and mushroom broth w marmalade and asauce.txt,20,1.08,0.16,0.0,0.07,0.02,1.96,1.03,0.35,0.0,0.56,0.57,0.0,500
23,20190307_180030_goats cheese and spinach omelette.jpg,goats cheese and spinach omelette,20190307_180030_goats cheese and spinach omelette.txt,182,13.33,5.28,2.03,1.11,0.0,4.14,2.34,1.2,0.0,11.33,0.51,0.0,60
24,20190308_133011_ham green beans and cous cous w egg.jpg,ham green beans and cous cous w egg,20190308_133011_ham green beans and cous cous w egg.txt,108,3.23,1.12,0.79,0.38,0.0,10.96,4.58,2.4,0.23,7.61,1.09,0.0,190
25,20190308_133011_light apricot cous cous.jpg,light apricot cous cous,20190308_133011_light apricot cous cous.txt,154,3.12,1.33,1.05,0.39,0.0,26.44,2.93,2.15,0.26,4.58,0.58,0.0,190
